"","FIPSCode","X","CountyNumber","DemVotes","RepVotes","IsDem","year","lessthanhighschool","atleasthighschooldiploma","atleastbachelorsdegree","graduatedegree","schoolenrollment","medianearnings2010dollars","educationindex","incomeindex","whitenotlatinopopulation","africanamericanpopulation","nativeamericanpopulation","asianamericanpopulation","populationsomeotherraceorraces","latinopopulation","childrenunder6livinginpoverty","adults65andolderlivinginpoverty","Xtotalpopulation","preschoolenrollmentratioenrolledages3and4","povertyratebelowfederalpovertythreshold","ginicoefficient","childpovertylivinginfamiliesbelowthepovertyline","managementprofessionalandrelatedoccupations","serviceoccupations","salesandofficeoccupations","farmingfishingandforestryoccupations","constructionextractionmaintenanceandrepairoccupations","productiontransportationandmaterialmovingoccupations"
"1",1001,2,1001,6354,17366,0,2010,14.7,85.3,21.7,7.1,78.9,29949,4.65,5.02,77.2,17.6,0.4,0.9,1.5,2.4,21.3,8.6,54571,42.3,10.6,0.405,14.5,29.3,16.9,29.1,0.5,11,13.1
"2",1003,3,1002,18329,65772,0,2010,12.4,87.6,26.8,8.7,75.2,26775,4.7,4.24,83.5,9.3,0.6,0.7,1.4,4.4,20.2,5.4,182265,43,12.2,0.439,18.8,31.5,17.6,26.9,1,12.5,10.6
"3",1005,4,1003,5873,5539,1,2010,28.1,71.9,13.5,6,69,20335,2.7,2.34,46.8,46.7,0.2,0.4,0.9,5.1,37.1,20.2,27457,32.5,25,0.464,33.9,26.6,15.7,21.3,1.9,8.4,26.1
"4",1007,5,1004,2200,6131,0,2010,25.5,74.5,10,2.6,65.2,26902,2.15,4.28,75,21.9,0.3,0.1,0.9,1.8,24,11.3,22915,20.9,12.6,0.411,18.4,20.1,13.2,22.9,0.6,18,25.3
"5",1009,6,1005,2961,20741,0,2010,25.3,74.7,12.5,4.2,72.9,28186,3.07,4.6,88.9,1.3,0.5,0.2,1.1,8.1,21.2,10.9,57322,29,13.4,0.422,18.2,24.7,16,25.6,1.3,14.5,17.9
"6",1011,7,1006,4058,1250,1,2010,25.3,74.7,12,3.7,67.8,21267,2.54,2.65,21.9,70,0.2,0.2,0.6,7.1,51.5,17,10914,51.6,25.3,0.533,48.8,21.2,15.5,24.3,5.2,6.6,27.2
"7",1013,8,1007,4367,5081,0,2010,25.2,74.8,11,3.2,74.6,22073,3.12,2.9,54.1,43.2,0.3,0.8,0.7,0.9,33,22.7,20947,34,25,0.463,32.5,22.2,17.8,26.1,2,9.3,22.7
"8",1015,9,1008,15500,30272,0,2010,21.5,78.5,16.1,6.4,74.3,24098,3.63,3.51,73.6,20.4,0.4,0.7,1.6,3.3,30.6,10.9,118572,37.7,19.5,0.453,26.8,27.7,16.1,23.7,0.5,11.4,20.6
"9",1017,10,1009,6853,7596,0,2010,28.2,71.8,10.8,3.7,75.5,22715,3.1,3.1,58.1,38.6,0.2,0.5,1,1.6,35,15.7,34215,63.2,20.3,0.425,30.2,23.5,14,25.7,0.5,13.3,23
"10",1019,11,1010,2126,7494,0,2010,26.6,73.4,10.5,4.2,67.7,26873,2.43,4.27,92.1,4.6,0.5,0.2,1.4,1.2,22.8,9.4,25989,24.2,17.6,0.439,27.3,25.2,15.2,20.2,0.9,13.1,25.5
"11",1021,12,1011,3391,13910,0,2010,24.1,75.9,12.2,4.8,69,27134,2.76,4.34,81.1,9.6,0.3,0.3,0.9,7.8,29.3,11.2,43643,42.1,18.4,0.451,27.2,23.3,14.7,22.6,0.9,18.3,20.1
"12",1023,13,1012,3785,4150,0,2010,28.9,71.1,10.9,4.1,79.9,23074,3.5,3.21,55.6,43.2,0.1,0.1,0.5,0.5,19.7,19.3,13859,56.9,18.7,0.457,24.6,29.5,10.3,21,2.9,17.8,18.4
"13",1025,14,1013,6317,7463,0,2010,23.9,76.1,13.5,4.9,76.3,27195,3.53,4.35,54,43.7,0.4,0.3,0.7,1,34.9,24.1,25833,46.5,29.2,0.523,37,28,15,20.1,2.1,11.8,23.1
"14",1027,15,1014,1770,4802,0,2010,28.6,71.4,9.5,3.1,74.4,27343,2.88,4.39,80.3,14.7,0.4,0.2,1.6,2.9,29.1,15.4,13932,55.3,18.8,0.421,21.1,23.6,11.7,18.6,3,14.2,29
"15",1029,16,1015,971,5269,0,2010,29.7,70.3,8.4,3.7,73,22130,2.67,2.92,93.2,3.3,0.3,0.2,0.9,2.1,15.7,13.7,14972,58.7,17.1,0.424,24,24.7,15.2,18.4,2.5,18.1,21.2
"16",1031,17,1016,4899,14638,0,2010,20.7,79.3,22.1,8.5,70.9,26565,3.7,4.19,72.3,16.5,1.2,1.3,2.3,6.4,27.2,13.4,49948,30.8,17.2,0.452,26.4,32.3,13.7,24,2.3,12.4,15.3
"17",1033,18,1017,9160,13931,0,2010,19.9,80.1,16.4,5.9,76,26020,3.85,4.04,79.6,16,0.5,0.4,1.5,2,31.3,8.6,54428,30.9,15.7,0.435,24.2,27.4,14.9,27,0.7,11,19
"18",1035,19,1018,3551,3434,1,2010,28.7,71.3,9.7,4.3,73,23109,2.81,3.22,51.1,46.3,0.3,0.1,0.9,1.2,49.2,17.6,13228,32.5,30.6,0.484,48.6,21.4,15,27.6,1.4,11.7,22.8
"19",1037,20,1019,2188,3028,0,2010,26.9,73.1,10.6,4.8,71.2,23676,2.78,3.39,65.9,30.8,0.3,0.1,0.8,2,26.3,14.2,11539,25.6,16,0.443,20.6,21.7,18.4,19.8,1.3,12.1,26.6
"20",1039,21,1020,3155,12148,0,2010,23.5,76.5,13.1,4.8,74.5,21681,3.35,2.78,84.1,12.4,0.5,0.4,1.3,1.3,36.7,12.8,37765,46.2,19,0.475,28.3,24.6,14.3,24,3.2,14.1,19.8
"21",1041,22,1021,2048,4326,0,2010,26.3,73.7,10.1,3.9,79.6,22142,3.55,2.93,72.1,23.3,0.4,1.4,1.4,1.5,28.3,16.7,13906,29.9,17.7,0.466,25.5,27.8,14.6,23,2.8,12.3,19.4
"22",1043,23,1022,4855,27930,0,2010,23.1,76.9,13.8,5.4,74.1,24190,3.39,3.54,92.7,1,0.5,0.4,1,4.3,24.9,12.6,80406,36.9,16.7,0.445,21.6,25.5,15.4,23.8,1.3,14.2,19.8
"23",1045,24,1023,5283,13105,0,2010,17.8,82.2,17.5,5.6,69.5,25846,3.37,4,71.1,19,0.7,1,2.6,5.6,18.3,10.2,50251,37,14.8,0.424,19.6,25.9,17.2,23.7,0.9,16.3,16
"24",1047,25,1024,14599,6284,1,2010,23.2,76.8,14.3,6,77.4,21566,3.75,2.74,28.9,69.2,0.2,0.3,0.7,0.7,53.6,24,43820,43.1,31.8,0.515,47.5,25.2,16,22,1.4,9.7,25.7
"25",1049,26,1025,5235,18316,0,2010,31.9,68.1,10.9,4.7,69.9,22130,2.45,2.92,81.6,1.4,1.2,0.2,1.9,13.6,36.5,16.2,71109,17.7,20,0.454,28.3,21.8,13.5,20.3,1.6,12.2,30.6
"26",1051,27,1026,8940,26223,0,2010,16.2,83.8,20.2,6.9,73.3,28690,3.98,4.72,75,19.9,0.3,0.6,1.4,2.7,18.1,9.4,79303,45.8,12.4,0.405,16.8,33.5,14.2,26,0.2,12.3,13.8
"27",1053,28,1027,5476,9263,0,2010,27,73,10.9,3.6,73.7,22478,2.97,3.03,61.3,31.7,3.3,0.2,1.5,1.9,45.4,14.8,38319,28.5,24.4,0.464,38.5,25.4,19.7,23.1,1.4,13.5,16.9
"28",1055,29,1028,12792,29102,0,2010,18.8,81.2,15.8,5.9,73.3,24799,3.62,3.71,79.3,15,0.4,0.6,1.4,3.3,31.3,11.2,104430,42.8,16.8,0.453,24.6,29.3,17.2,23.6,0.5,10.4,19
"29",1057,30,1029,1803,6034,0,2010,25.3,74.7,9.5,3.7,75.4,22161,3.15,2.93,86,11.4,0.3,0.2,0.9,1.2,19.3,14.1,17241,37.9,17.9,0.418,21.3,24.1,13.7,20.7,1.7,9.2,30.6
"30",1059,31,1030,3171,7567,0,2010,30.4,69.6,11.8,4.2,69.8,21864,2.51,2.84,79.6,3.8,0.4,0.2,1.1,14.9,28.3,13.2,31704,24.3,19.5,0.454,26.2,21.2,14.5,21.5,1.8,13.6,27.4
"31",1061,32,1031,2039,9173,0,2010,27.7,72.3,8,2.9,70.1,20589,2.44,2.42,84.7,9.4,0.7,0.2,1.5,3.4,23.9,10.5,26790,30.7,16.3,0.456,18.8,22.6,15.1,23.8,1.7,16.6,20.2
"32",1063,33,1032,4514,799,1,2010,27.4,72.6,9.9,4.7,80.8,20553,3.63,2.41,17.3,81.2,0.1,0.2,0.4,0.8,53.8,20.8,9045,71,30.8,0.484,41.3,22.4,16.7,18.7,1.8,13.3,27.1
"33",1065,34,1033,5401,3205,1,2010,30.1,69.9,10,4.1,76.2,20278,3.06,2.32,39.4,58.8,0.1,0.2,0.5,0.9,40,22.3,15760,54.5,24.6,0.48,31.7,23.6,18.3,17.7,3.5,12.1,24.8
"34",1067,35,1034,3046,5605,0,2010,23.9,76.1,15,6.2,74.5,25342,3.48,3.86,67.8,28.4,0.3,0.3,1,2.2,13,15.4,17302,25.5,15.1,0.446,19.7,25,17.9,25.1,2.9,9.9,19.1
