"","fips","dem","rep","isdem","lesshs","hs","leastbach","graduate","enrollp","earnings","educationi","incomei","white","afric","nativ","asian","other","latin","povo65","popul","preschl","belowpov","gini","childpov.x","wmanage","wsales","wfarm","wconstruct","wtransport","state.x","state.y","county","fairpoorhealth","fphq","sickdays","sickdaysq","mentaldays","mentaldaysq","lowbirthrate","lowbirthrateq","smokers","smokersq","adultobese","adultobeseq","phyinactive","phyinactiveq","excsdrinking","excsdrinkingq","motordeath","motordeathq","stdsper100","stdsper100q","teenbirthrate","teenbirthrateq","uninsured.x","uninsuredq","physicianratio","ambulatorycare","ambulatorycarq","diabeteshba1c","diabeteshba1cq","mammography","mammographyq","posthighq","unemployed","unemployedq","childpovq","noemotionalsupport","noemotionalsupportq","singleparent","singleparentq","violentcrime","violentcrimeq","particulatedaysq","airpollutionq","recfac","recfacq","limitedaccesshealthyfood","limitedaccesshealthyfoodq","fastfoodresp","fastfoodresq","under18","over65","noenglish","female","rural","diabectic","mphratio","healthcosts","dentistratio","freelunch","illiteracy","drivealone","healthyfood","blueisland"
"1",1001,6354,17366,"no",14.7,85.3,21.7,7.1,78.9,29949,4.65,5.02,77.2,17.6,0.4,0.9,1.5,2.4,8.6,54571,42.3,10.6,0.405,14.5,29.3,29.1,0.5,11,13.1,"AL","Alabama","Autauga",22,"2",4.9,"3",4.1,"2",9.7,"2",25,"3",34,"2",32,"2",16,"4",28,"2",425,"2",51,"1",14,"1","2289:1",91,"2",84,"1",63.8,"3","1",8,"1","1",24,"3",30,"1",291,"2","2","1",7.9,"1",21,"4",47,"1",27.8,11.6,0.9,51.4,44.8,12,"50354:1",10146,"4764:1",29,12.7,87,33,0
"2",1003,18329,65772,"no",12.4,87.6,26.8,8.7,75.2,26775,4.7,4.24,83.5,9.3,0.6,0.7,1.4,4.4,5.4,182265,43,12.2,0.439,18.8,31.5,26.9,1,12.5,10.6,"AL","Alabama","Baldwin",13,"1",3.4,"1",4.2,"2",9,"1",23,"2",26,"1",25,"1",20,"4",23,"1",270,"1",50,"1",16,"2","1224:1",58,"1",81,"3",71.7,"1","1",8.9,"1","1",19,"1",29,"1",242,"2","1","4",10,"1",1,"1",36,"1",23.1,17,2.2,51,54.2,11,"6076:1",10019,"2077:1",29,10.6,84,55,0
"3",1005,5873,5539,"yes",28.1,71.9,13.5,6,69,20335,2.7,2.34,46.8,46.7,0.2,0.4,0.9,5.1,20.2,27457,32.5,25,0.464,33.9,26.6,21.3,1.9,8.4,26.1,"AL","Alabama","Barbour",25,"3",6.1,"4",4.6,"3",12.1,"4",23,"3",37,"4",34,"3",11,"3",28,"2",710,"3",74,"4",19,"4","2712:1",115,"4",85,"1",65.3,"2","4",12.1,"3","4",18,"1",52,"4",190,"1","4","1",3.4,"3",5,"2",64,"4",22.3,13.8,2.1,46.8,71.5,14,"14918:1",9979,"3084:1",65,23.2,79,50,0
"4",1007,2200,6131,"no",25.5,74.5,10,2.6,65.2,26902,2.15,4.28,75,21.9,0.3,0.1,0.9,1.8,11.3,22915,20.9,12.6,0.411,18.4,20.1,22.9,0.6,18,25.3,"AL","Alabama","Bibb",21,"1",4.8,"3",5.6,"4",10,"3",35,"4",34,"2",37,"4",13,"4",41,"4",319,"2",59,"3",18,"4","3598:1",96,"3",82,"3",58.2,"3","3",10.7,"3","2",29,"4",35,"2",220,"1","1","3",4.6,"3",35,"4",54,"3",23.3,13.5,0.8,48,81.5,12,"21589:0",12040,"5609:1",48,17.5,85,71,0
"5",1009,2961,20741,"no",25.3,74.7,12.5,4.2,72.9,28186,3.07,4.6,88.9,1.3,0.5,0.2,1.1,8.1,10.9,57322,29,13.4,0.422,18.2,24.7,25.6,1.3,14.5,17.9,"AL","Alabama","Blount",25,"4",6.1,"4",5.1,"4",7.5,"1",23,"2",32,"1",36,"4",5,"1",31,"2",87,"1",51,"2",18,"3","4446:1",87,"2",82,"2",66.8,"2","3",8.9,"1","1",14,"1",25,"1",143,"1","2","3",5.1,"2",29,"4",56,"3",24.2,14.7,4.3,50.2,91,13,"57794:1",10755,"11248:1",37,13.9,81,50,0
"6",1011,4058,1250,"yes",25.3,74.7,12,3.7,67.8,21267,2.54,2.65,21.9,70,0.2,0.2,0.6,7.1,17,10914,51.6,25.3,0.533,48.8,21.2,24.3,5.2,6.6,27.2,"AL","Alabama","Bullock",20.3449354317998,"2",5.2,"4",5.7,"4",13.7,"4",21.1588861588862,"2",39,"4",31,"1",5,"1",62,"4",843,"4",90,"4",21,"4","2184:1",97,"3",83,"2",64.9,"2","4",14.7,"4","4",20.8680923866553,"2",64,"4",473,"3","4","1",0,"3",16,"3",67,"4",24.6,10.8,0.7,44.5,64.7,16,"10921:0",10049,"5505:1",92,34.2,82,33,0
"7",1013,4367,5081,"no",25.2,74.8,11,3.2,74.6,22073,3.12,2.9,54.1,43.2,0.3,0.8,0.7,0.9,22.7,20947,34,25,0.463,32.5,22.2,26.1,2,9.3,22.7,"AL","Alabama","Butler",24,"3",4.3,"2",3.5,"1",11.3,"3",29,"4",41,"4",37,"4",9,"2",37,"3",602,"3",66,"4",18,"3","2241:1",175,"4",80,"3",53.4,"4","2",12.1,"3","4",28,"4",50,"4",433,"3","3","1",0,"3",3,"2",47,"1",24.8,16.2,0.5,52.9,74.8,17,"20171:1",12590,"5223:1",64,20.6,88,50,0
"8",1015,15500,30272,"no",21.5,78.5,16.1,6.4,74.3,24098,3.63,3.51,73.6,20.4,0.4,0.7,1.6,3.3,10.9,118572,37.7,19.5,0.453,26.8,27.7,23.7,0.5,11.4,20.6,"AL","Alabama","Calhoun",23,"3",5.1,"4",4.9,"4",9,"1",27,"4",34,"2",34,"3",13,"3",27,"2",543,"3",58,"3",16,"1","1304:1",91,"2",79,"4",60.9,"3","2",9.5,"2","3",22,"2",39,"3",1006,"4","4","1",6.1,"2",19,"3",59,"4",23.4,15,1.8,52.1,31,14,"9452:1",11047,"2702:1",45,14.6,86,75,0
"9",1017,6853,7596,"no",28.2,71.8,10.8,3.7,75.5,22715,3.1,3.1,58.1,38.6,0.2,0.5,1,1.6,15.7,34215,63.2,20.3,0.425,30.2,23.5,25.7,0.5,13.3,23,"AL","Alabama","Chambers",41,"4",4.4,"2",4.8,"3",11.1,"3",21,"2",35,"3",36,"4",13,"4",27,"2",564,"3",70,"4",19,"4","2028:1",73,"1",84,"1",67,"2","2",13.7,"4","4",33,"4",46,"3",540,"4","3","4",5.8,"2",1,"1",54,"3",22.5,16.8,0.8,52.6,49.8,16,"34473:1",9623,"4978:1",60,20.2,82,100,0
"10",1019,2126,7494,"no",26.6,73.4,10.5,4.2,67.7,26873,2.43,4.27,92.1,4.6,0.5,0.2,1.4,1.2,9.4,25989,24.2,17.6,0.439,27.3,25.2,20.2,0.9,13.1,25.5,"AL","Alabama","Cherokee",29,"4",5.6,"4",4.6,"3",9,"1",25,"4",31,"1",36,"4",13,"4",27,"2",183,"1",62,"3",18,"3","4069:1",114,"4",89,"1",66.9,"2","3",9.1,"2","3",23,"3",26,"1",156,"1","3","1",4.1,"3",0,"1",62,"4",20.9,18.6,0.4,51.4,100,13,"24413:0",9922,"12776:1",43,16.4,78,50,0
